CalculationId,Parameter,SymbolId,MarketTimestamp,AnalysisValue,ValidFrom,ValidTo,ITS,UTS
2,5,GOOGL,2015-10-23 00:00:00.000,1,2020-10-24 23:37:29.617,9999-12-31 00:00:00.000,2020-10-24 23:37:29.617,2020-10-24 23:37:29.617
2,5,GOOGL,2015-10-26 00:00:00.000,1.33333333333333,2020-10-24 23:37:29.617,9999-12-31 00:00:00.000,2020-10-24 23:37:29.617,2020-10-24 23:37:29.617
2,5,GOOGL,2015-10-27 00:00:00.000,1.88888888888889,2020-10-24 23:37:29.617,9999-12-31 00:00:00.000,2020-10-24 23:37:29.617,2020-10-24 23:37:29.617
2,5,GOOGL,2015-10-28 00:00:00.000,2.59259259259259,2020-10-24 23:37:29.617,9999-12-31 00:00:00.000,2020-10-24 23:37:29.617,2020-10-24 23:37:29.617
2,5,GOOGL,2015-10-29 00:00:00.000,3.39506172839506,2020-10-24 23:37:29.617,9999-12-31 00:00:00.000,2020-10-24 23:37:29.617,2020-10-24 23:37:29.617
2,5,GOOGL,2015-10-30 00:00:00.000,4.26337448559671,2020-10-24 23:37:29.617,9999-12-31 00:00:00.000,2020-10-24 23:37:29.617,2020-10-24 23:37:29.617
2,5,GOOGL,2015-11-02 00:00:00.000,5.17558299039781,2020-10-24 23:37:29.617,9999-12-31 00:00:00.000,2020-10-24 23:37:29.617,2020-10-24 23:37:29.617
2,5,GOOGL,2015-11-03 00:00:00.000,6.11705532693187,2020-10-24 23:37:29.617,9999-12-31 00:00:00.000,2020-10-24 23:37:29.617,2020-10-24 23:37:29.617
2,5,GOOGL,2015-11-04 00:00:00.000,7.07803688462125,2020-10-24 23:37:29.617,9999-12-31 00:00:00.000,2020-10-24 23:37:29.617,2020-10-24 23:37:29.617
2,5,GOOGL,2015-11-05 00:00:00.000,8.05202458974750,2020-10-24 23:37:29.617,9999-12-31 00:00:00.000,2020-10-24 23:37:29.617,2020-10-24 23:37:29.617
2,5,GOOGL,2015-11-06 00:00:00.000,9.03468305983167,2020-10-24 23:37:29.617,9999-12-31 00:00:00.000,2020-10-24 23:37:29.617,2020-10-24 23:37:29.617
2,5,GOOGL,2015-11-09 00:00:00.000,10.02312203988778,2020-10-24 23:37:29.617,9999-12-31 00:00:00.000,2020-10-24 23:37:29.617,2020-10-24 23:37:29.617
2,5,GOOGL,2015-11-10 00:00:00.000,11.01541469325852,2020-10-24 23:37:29.617,9999-12-31 00:00:00.000,2020-10-24 23:37:29.617,2020-10-24 23:37:29.617
2,5,GOOGL,2015-11-11 00:00:00.000,12.01027646217235,2020-10-24 23:37:29.617,9999-12-31 00:00:00.000,2020-10-24 23:37:29.617,2020-10-24 23:37:29.617
2,5,GOOGL,2015-11-12 00:00:00.000,13.00685097478156,2020-10-24 23:37:29.617,9999-12-31 00:00:00.000,2020-10-24 23:37:29.617,2020-10-24 23:37:29.617
2,5,GOOGL,2015-11-13 00:00:00.000,14.00456731652104,2020-10-24 23:37:29.617,9999-12-31 00:00:00.000,2020-10-24 23:37:29.617,2020-10-24 23:37:29.617
2,5,GOOGL,2015-11-16 00:00:00.000,15.00304487768069,2020-10-24 23:37:29.617,9999-12-31 00:00:00.000,2020-10-24 23:37:29.617,2020-10-24 23:37:29.617
2,5,GOOGL,2015-11-17 00:00:00.000,16.00202991845380,2020-10-24 23:37:29.617,9999-12-31 00:00:00.000,2020-10-24 23:37:29.617,2020-10-24 23:37:29.617
2,5,GOOGL,2015-11-18 00:00:00.000,17.00135327896920,2020-10-24 23:37:29.617,9999-12-31 00:00:00.000,2020-10-24 23:37:29.617,2020-10-24 23:37:29.617
2,5,GOOGL,2015-11-19 00:00:00.000,18.00090218597947,2020-10-24 23:37:29.617,9999-12-31 00:00:00.000,2020-10-24 23:37:29.617,2020-10-24 23:37:29.617
2,5,GOOGL,2015-11-20 00:00:00.000,19.00060145731964,2020-10-24 23:37:29.617,9999-12-31 00:00:00.000,2020-10-24 23:37:29.617,2020-10-24 23:37:29.617
